artist_s__name_clean,total_musicas,total_streams
arctic monkeys,4,5569806731
fuerza regida,2,254854130
chris brown,1,929964809
carin leon,1,77309611
sabrina carpenter,1,342897938
shakira,1,123124076
hozier,1,2135158446
cris mj,1,682475162
tory lanez,1,415932686
karol g,4,1260876433
lord huron,1,1410088830
rels b,1,331511413
plan b,1,540654286
j cole,1,1791000570
kali uchis,1,256483385
chris molitor,1,1755214421
onerepublic,2,3097149603
manuel turizo,1,1214083358
lana del rey,3,1396024922
myke towers,1,133716286
jain,1,165484133
vance joy,1,2009094673
libianca,1,373199958
loreen,1,201660859
peggy gou,1,57876440
glass animals,1,2557975762
gunna,1,95217315
tom odell,1,1813673666
frank sinatra b swanson quartet,1,473248298
dr dre snoop dogg,2,2053908531
eminem dr dre,2,739827412
gotye kimbra,1,1457139296
godzz zakaria,1,1180896317
j balvin maria becerra,1,720825549
the weeknd lil wayne,1,91656026
21 savage gunna,1,60680939
gunna lil baby,1,54937991
mainstreet chefin,1,143139338
mnek jax jones,1,300983101
mahmood blanco,1,135079152
nicki minaj lil baby,2,146065318
ed sheeran taylor swift,1,146789379
polima westcoast pailita,1,307752576
tyga doja cat,1,153240879
gorillaz bad bunny,1,149778242
residente bizarrap,1,94616487
dua lipa megan thee stallion,1,299634472
blackbear boywithuke,1,197643795
morgan wallen eric church,1,58890931
kanii pr1isvx,1,77377503
tyler the creator,3,600669417
halsey bts,1,1065580332
sza doja cat,1,1575467011
camila cabello willow,1,75476209
bizarrap paulo londra,1,164163229
psy suga,1,212109195
justin bieber don toliver,1,106919680
the weeknd future,1,96180277
eminem nate dogg,1,1695712020
the chainsmokers halsey,1,2591224264
buscabulla bad bunny,1,344055883
ugly dray tesla jnr,1,121077868
post malone roddy ricch,1,271666301
kendrick lamar sampha,1,127309180
kendrick lamar kodak black,1,123216717
kendrick lamar taylour paige,1,68895644
kendrick lamar tanna leone,1,58687425
kendrick lamar beth gibbons,1,33381454
sleepy hallow 347aidan,1,160845341
kanye west xxxtentacion,1,194902696
rm colde,1,34502215
kendrick lamar beyonc,1,57089066
taylor swift ice spice,1,46142772
annenmaykantereit giant rooks,1,236872197
doja cat the weeknd,1,672656250
ozuna tiago pzk,1,138334433
